keys;en;it
dialogue_with_pi_poster_2;Dominik: Is this meant to be useful for something? Let's recall... How was pi made, again?;Dominik: Dovrebbe essermi utile per qualcosa? Vediamo... Com'è che era fatto il pi greco?
dialogue_with_pi_poster_3;Dominik: Wasn't it something like 3,1415926535897 an others?...;Dominik: Non era una cosa tipo 3,1415926535897 e altro?...
dialogue_with_pi_poster_4;Dominik: How did I even remember all of those numbers, by the way?;Dominik: Ma come ho fatto a ricordarmene così tanti?
actual_minigame_combination_first_dialogue_1;Dominik: Alright, let's try it again. This time, it will work!;Dominik: Ok, riproviamoci. Questa volta funzionerà sicuramente!
combination_minigame_won_1;Dominik: Wow, that was it?!;Dominik: Wow, era davvero questa?!
combination_minigame_won_2;Dominik: I guess that pi poster was there for a reason, after all...;Dominik: Alla fine, quel poster del pi greco era effettivamente utile...


memeory_first_dialogue;Watermelon: Hello, first time!;Anguria: Ciao, prima volta!
memeory_retry;Watermelon: Rematch?;Anguria: Rivincita?
memeory_win;Watermelon: GG, you won. Here's a reward for you!;Anguria: GG, hai vinto. Ecco a te una ricompensa!
memeory_lost;Watermelon: gg,but try again;Anguria: gg, ma prova ancora
memeory_win_ui;YOU WON!;HAI VINTO!
memeory_lost_ui; YOU LOST!; HAI PERSO!


minigame_3_colors_mobile_bloccato;Domink: This one is locked too, what's wrong with my house, what is this level of security?!;Dominik: Anche questo è bloccato, ma cos'è questo livello di sicurezza in casa mia?!
minigame_3_lost;Dominik: Well, guess I'll have to take a deeper look around, there has to be a hint around!;Dominik: Bene, immagino che dovrò guardare meglio in giro, ci deve essere qualcosa che può aiutarmi!
minigame_3_won_1;Dominik: Nice! I wonder who would use a whole pc to remember a key combination, but I guess it works, so it's fine.;Dominik: Ottimo! Mi chiedo perché usare un intero pc per ricordarsi una combinazione di chiavi, ma immagino abbia funzionato, quindi va bene.
minigame_3_won_2;Dominik: Well, let's see what's in here... What is this? It looks suspicious...;Dominik: Ok, vediamo cosa c'è qui dentro... Ma che roba è? Sembra sospetta...
minigame_3_after_plutonio;Dominik: Woah, that's... PLUTONIUM?!! That's radioactive as hell too, I sure hope i don't grow extra arms or something... Well, who cares, let's take it!;Dominik: Woah, ma è... PLUTONIO?? Ed è anche dannatamente radioattivo, spero proprio che non mi crescano altre braccia o roba del genere... Vabbè, che importa, prendiamolo!

click_spada_laser_dialogo_minigame4_1;Dominik: Wow, this laser sword looks like it could cut stuff for real...;Dominik: Wow, questa spada laser sembra possa tagliare qualcosa sul serio...
click_spada_laser_dialogo_minigame4_2;Octypus: Hehe, it sure can!;Polipetto: Hehe, può eccome!
click_spada_laser_dialogo_minigame4_3;...;...
click_spada_laser_dialogo_minigame4_4;Dominik: What was that...? Did it come out of...;Dominik: Ma che cosa...? La voce sembrava provenire da...
click_spada_laser_dialogo_minigame4_5;Octypus: Yes that was me you mere human!;Polipetto: Ero proprio io, sciocco umano!
click_spada_laser_dialogo_minigame4_6;Octypus: I am a gift from the one and only almighty Watermelon, and I will be your guide to fix this almighty laser sword!; Polipetto: Sono un regalo dell'unica e sola Anguria, e sarò la tua guida per riparare quest'unica e sola spada laser!
click_spada_laser_dialogo_minigame4_7;Dominik: Well, that's... Unexpected? But I guess I could use some help...;Dominik: Ah, è un po'... Inaspettato? Ma credo che non mi dispiaccia ricevere una mano...
click_spada_laser_dialogo_minigame4_8;Octypus: This very sword is extremely powerful, and as such, it needs an extremely powerful power source!;Polipetto: Questa spada è estremamente potente, e in quanto tale, ha bisogno di una fonte di energia estremamente potente!
click_spada_laser_dialogo_minigame4_9;Octypus: Do you happen to have anything that just fits this description? See, there is a slot on the base of it, try to fit something there.;Polipetto: Ti ricorda qualcosa che possiedi? Guarda, sulla base della spada c'è un vano, prova ad inserirci qualcosa.
click_spada_laser_dialogo_minigame4_10;Dominik: Alright, let's give it a shot then.;Dominik: Ok, proviamo.

click_spada_laser_dialogo_minigame4_after;Octypus: Try to fit something inside of the slot on the base of the sword, see if it turns on.;Polipetto: Prova ad inserire qualcosa nel vano alla base della spada, vedi se riesci ad accenderla.

minigame_4_won_1;Dominik: Wow, so that's how you use radioactive plutonium? Well, as long as it works!;Dominik: Wow, quindi è cosi che si usa il plutonio radioattivo? Bhe, finché funziona!
minigame_4_won_2;Octypus: Nice, human! Now I'll leave, I fulfilled my duty, goodbye!;Polipetto: Bene, umano! Ora me ne vado, ho fatto il mio dovere, addio!
minigame_4_won_3;Dominik: Bye, and thanks!;Dominik: Addio, e grazie!
minigame_4_won_4;Dominik: After all, he was a really cool octopus.;Dominik: Alla fine, era proprio un bravo polipetto.
minigame_4_won_5;Dominik: Now, now... This looks like it could really melt something, I need to be careful with it...;Dominik: Tornando a noi... Sinceramente, questa cosa potrebbe veramente arrostire qualcuno, devo farci attenzione...
minigame_4_lost;Octypus: Need some time to think huh? You humans are slow!;Polipetto: Hai bisogno di tempo per pensare eh? Voi umani siete lenti!
NO_ITEM_SELECTED_DESC_STRING_MINIGAME4;Select an item to try to power on the laser sword;Seleziona un oggetto per provare ad accendere la spada laser
wrong_item_selected_minigame4;It does not seem to be working...;Non sembra funzionare...

